English,Hausa
Where do I go after I pick up my baggage?,Ina zan tafi bayan na ɗauki jakar kayana?
"Which do you usually drink, wine or beer?","Wanne ka saba sha, tsimin inibi ko kuma giya?"
Why don't we go to the bookstore on foot?,Me ya sa ba za mu je shagon sayar da littattafan ba a ƙafa?
Will the strike affect the price of coal?,Shin yajin aikin zai shafi farashin kwal ɗin?
You can mix different foods in a blender.,Za ka iya cakuɗa abinci daban-daban a cikin blenda.
"You have a lot of money, and I have none.","Kana da kuɗi masu yawa, ni kuma ba ni da ko ɗaya."
You know how much Ali loves Chinese food.,Ka san dai yadda Ali yake son abincin 'yan ƙasar Sin.
A dolphin is no more a fish than a dog is.,Wai kura ce za ta ce da kare maye.
A trip to Hawaii costs around 200 dollars.,Tafiya zuwa jihar Hawaii na cin kuɗin da ya kai dala 200.
A well is a place where you can get water.,Rijiya ce wajen da za ka samu ruwa.
Always pay attention to your surroundings.,Kodayaushe ka mai da hankali kan abubuwan da ke kewaye da kai.
Are you planning on buying a new computer?,Kana shirin siyan sabuwar na'ura mai ƙwaƙwalwa ne?
Binge drinking is harmful for your health.,Shan giya mankas yana da cutarwa ga lafiyarka.
Bread and butter is their usual breakfast.,Biredi da bota shi ne yawancin abincin karin kumallonsu.
Can you teach me how to play the bagpipes?,Za ka iya koya min yanda ake busa kakaki?
Could you please confirm the price by fax?,Dan Allah za ka iya tabbatar min da farashin ta saƙon fax?
Cut the bell peppers into two-inch strips.,Ka yi wa tattasan yanka inci biyu.
Didn't I tell you to take out the garbage?,Ba na faɗa maka ka fitar da shara waje ba?
Do you know any good restaurant near here?,Ka san wani gidan abinci mai kyau a nan kusa?
Do you really expect me to give you money?,Da gaske kana sa ran zan ba ka kuɗi?
Don't spend all your money on comic books.,Kada ka kashe dukkanin kuɗinka wajen sayen litattafan labarai na komik.
Don't worry about the store. I'll lock up.,"Kar ka damu da ma'ajiyar, zan kulle."
Fishing is the only thing Ali wants to do.,Kamun kifi shi ne kaɗai abin da Ali yake son aikatawa.
Have you ever eaten alone in a restaurant?,Ka taɓa cin abinci kai kaɗai a gidan cin abinci?
Have you ever eaten in a restaurant alone?,Ka taɓa cin abinci a gidan cin abinci kai kaɗai ?
He doesn't know what to do with his money.,Bai san mai zai yi da kuɗinsa ba.
He drinks himself unconscious every night.,Yana shan giyar da ta fi ƙarfinsa a kowanne dare.
He is still on the payroll of the company.,Har yanzu yana cikin jadawalin biyan kuɗi na kamfanin.
He makes three times more money than I do.,Yana samun kuɗi ninki ukun yadda nake samu.
He sent an immediate reply to my telegram.,Ya amsa saƙo cikin gaggawa ta cikin Telegram ɗina.
He was so poor that he couldn't buy bread.,Talaka ne sosai ta yadda ba zai iya siyan biredi ba.
He went to the bank and changed his money.,Ya je banki ya canja kuɗaɗensa.
He's the head of the marketing department.,Shi ne shugaban sashen tallace-tallace.
How much do you spend on food every month?,Nawa kake kashewa a siyan abinci a kowanne wata?
Hydrogen and oxygen combine to form water.,Sinadaran Hydrogen da Oxygen ne suke haɗuwa su samar da ruwa.
I didn't go fishing with Ali last weekend.,Ban je kamun kifi da Ali ba a ƙarshen makon da ya gabata.
I do not much care for this kind of drink.,Ban damu sosai da irin wannan abin shan ba.
"I don't have any money, but I have dreams.","Ba ni da kuɗi ko ɗaya, amma ina da burace-burace."
I don't know where to buy imported cheese.,Ban san a ina zan sai cukwui wanda aka shigo da shi daga ƙetare ba.
I had to borrow money to purchase the car.,Dole na ranto kuɗi domin na siyi motar.
I had to walk because there were no taxis.,Dole na tafi a ƙafa saboda babu motocin tasi.
"I only buy fresh vegetables, never frozen.","Sababbin kayan lambu kaɗai nake siya, ban da waɗanda aka daskarar."
I presume that he has paid the money back.,Ina sa ran cewa ya biya kuɗin.
I think it's time for me to buy a new car.,Ina ga lokaci ya yi da zan siyi sabuwar mota.
I thought Ali had enough money to live on.,Na yi tunanin cewa Ali yana isashshen kuɗin da zai cigaba da rayuwa.
I usually go shopping on Sunday afternoon.,Yawanci ina zuwa siyayya a yammacin ranar Lahadi.
I went to many shops to look for the book.,Na je shaguna da yawa don neman littafin.
I wish we'd bought another bottle of wine.,Na so ace mun siyo wata kwalbar tsimin inibin.
I'm going to buy a camera for my daughter.,Zan siya wa 'yata na'urar ɗaukar hoto.
I'm staying at a hotel for the time being.,Zan zauna a otel na ɗan wani lokaci.
I've been thinking about buying a new car.,Na daɗe ina tunanin siyan sabuwar mota.
I've eaten a great deal of food this week.,Na ci abinci sosai a wannan makon.
"If there are no taxis, we'll have to walk.","Idan babu motocin tasi, to a ƙasa za mu tafi."
"If you buy me an ice cream, I'll kiss you.","Idan ka siya min ayiskirim, zan sumbace ka."
"If you need any money, I'll lend you some.","Idan kana buƙatar kuɗi, zan ba ka aron wasu."
"If you want that hat, I'll buy it for you.","Idan kana son waccan malafar, zan siya maka."
Is this new model available on the market?,Shin wannan sabon samfurin akwai shi a kasuwa?
"It cost me 5,000 yen to repair my bicycle.","Yen 5,000 na kashe wajen gyara kekena."
It goes without saying that time is money.,Ba sai an faɗa maka cewa lokaci kuɗi ne ba.
It seems to me that this is too expensive.,Ni dai ina jin cewa wannan ya yi tsada sosai.
It's cheaper to order things by the dozen.,Ya fi araha ka siyi abubuwa dozin-dozin.
Let Ali buy a new computer if he wants to.,A Ƙyale Ali ya siyi na'ura mai ƙwaƙwalwa idan yana so.
Making money is not the only goal in life.,Samun kuɗi ba shi kaɗai ba ne manufa a rayuwa.
Mom remained in the car while Dad shopped.,Mama ta zauna a cikin mota yayin da baba yake siyayya.
Mother divided the cake into eight pieces.,Mama ta raba kek ɗin gida takwas.
"Nowadays, you can't buy much for a dollar.","A yanzu, ba za ka iya siyan abubuwa da yawa ba a dala ɗaya."
"OK guys, I really need something to drink.",haƙiƙa ina buƙatar wani abu na sha.
Only a few TV programs are worth watching.,Shirye-shiryen talabijin kaɗan ne suka cancanci a kalle su.
Please don't use more water than you need.,Kada ka yi amfani da ruwan da yafi ƙarfin buƙatarka.
Please drink the beer before it goes flat.,Don Allah ka sha giyar kafin kumfarta ta kwanta.
Please fill the teapot with boiling water.,Don Allah ka cika tukunyar shayin da tafasashshen ruwa.
She keeps a record of everything she buys.,Tana adana bayanan dukkanin abin da ta siya.
She managed to carry all the bags herself.,Ta ɗauki jakankunan da kanta.
She was carrying a basket full of flowers.,Tana ɗauke da kwando wanda yake cike da fulawoyi.
"Since it was Sunday, the store was closed.","Tun da yau Lahadi ce, kantin a rufe yake."
Some fish are able to change their gender.,Wasu kifayen suna iya canja jinsinsu.
Someday I will buy a cotton candy machine.,Watarana zan siyi injin alawar swit kamfo.
Taiwanese food is milder than Indian food.,Abincin 'yan ƙasar Taiwan bai kai na 'yan Indiya yaji ba.
That store sells newspapers and magazines.,Wancan kantin suna siyar da jaridu da mujallu.
That's the guy I saw steal Mary's handbag.,Wancan shi ne mutumin da na ga ya saci jakar hannu ta Mary.
The Japanese eat rice at least once a day.,Yan ƙasar Japan suna cin shinkafa aƙalla sau ɗaya a rana.
The actress always wears expensive jewels.,Yar wasan kwaikwayon tana sanya kayan ƙawa masu tsada a kodayaushe.
"The dog ate the fish, bones, tail and all.","Karen ya cinye kifin, kasusuwa, jela da komai."
The lack of money is the root of all evil.,Rashin kuɗi shi ne tushen duk wani laifi.
The market was flooded with foreign goods.,Kasuwar ta cika da kayayyakin ƙasashen waje.
The old farmer did not pay him much money.,Tsohon manomin mai biya shi kuɗi masu yawa ba.
The problem is in that it's too expensive.,Matsalar shi ne ya yi tsada sosai.
