anchor,positive
There has been a delay in the distribution of food during the lockdown.,Wɔankyekyɛ nnuane ntɛm berɛ a na wɔmma nnipa mpue abɔntene no.
Fake seeds were found on sale in certain markets.,Waho aba a ɛnyɛ wɔ dwa ahorow bi mu
Taxis load and off load passengers in the middle of the road.,Taksi ahorow de nneɛma gu akwantufo so na wɔde nneɛma gu mu wɔ ɔkwan no mfinimfini.
Thank you.,Akpe na wò.
The government has stopped the distribution of food in quarantine centres.,Aban no mfa nnuane nkɔ mmeaeɛ a wɔde nnipa a wɔnya yareɛ no bi kɔgu no bio.
Please.,Kindly.
Take care.,Prends soin de toi.
Farmers produce enough food for both local and international markets.,Akuafo nya nnuan a ɛbɛso wɔn a wɔwɔ ɔman no mu ne aman foforo so nyinaa.
My whole family is going to starve!,Dɔwuame le ƒonyemea takã wu ge.
Welcome,Woezɔ̃
I'm interested in learning about water disinfection methods. Can you tell me about the slug method?,Miyɛ gbɛi ni atsɔɔ nɔ ashɛɔ nu he lɛ he miishɛɛ. Ani obaanyɛ okɛɛ mi slog gbɛ lɛ he sane?
You're welcome.,It's my pleasure.
People in the Northern region need free health services like family planning and HIV testing.,Nnipa a wɔwɔ Atifi mantam no hia apɔmuden nhyehyɛeɛ a wɔntua hwee te sɛ awoɔ ho nhyehyɛeɛ ne HIV nhwehwɛmu.
Money should not be the only reason for leaders to work hard.,Ɛnsɛ sɛ sika nkutoo na ɛma akannifo yɛ adwumaden.
I heard that Agbeshie's new song 'Alakpator' is about a true story involving two of his friends in the music industry. Can you tell me more about it?,Mi nuɔ akɛ Agbeshiye lala hee ni ji ‘Alakator’ lɛ ji anɔkwale sane ko ni kɔɔ nanemɛi enyɔ ni yɔɔ lalafeemɔ nitsumɔ lɛ mli lɛ ahe. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
The water project takes advantage of the slope and gravity.,Nsu adwuma no de ɔkwan a ɛkɔ fam ne tumi a ɛtwe ade ba fam no di dwuma.
No.,Non.
"The head of the family is himself called Baba Segi in reference to his first daughter,",woyɔa ƒome tatɔ hã ŋutɔ be baba segi na sɔli dodo via gbãtɔ
