english,ewe
"“It is important that our elites understand that the issue is not their power, but the fate of entire generations of young people.”",ele vevie be míaƒe agbalẽnyalawo nanyae be menye woƒe ŋusẽ ye le vevie o ko boŋ dzidzime si gbɔna la ƒe tsɔme
The poor man has no idea what his daughter is doing with her life and I understand that.,menya nu si via wɔna kple eƒe agbe o eye mese esia gɔme nae
"And this is what makes it sometimes difficult to understand the extent of the evil that drives us. """,esiae na meinyana nu baɖa si le mia me la ƒe ɖoƒe o
I admit that I was amazed by what is being done at Baby Lab and what will still be done thanks to donations from the Orange foundation.,nusiwo wole wɔwɔm nyo eye egayi edzi kple nunana sia
"Together we live with our mother, in the large family courtyard",miele aƒe ɖeka me kple mia nɔ
I still haven't had the courage to tell him that I've been in a relationship with his best friend for a month.,nyemete ŋu gblɔe nae be nye kple xɔ̃a vevitɔe li ɣleti ɖekae nye esia o
"I will take care of my husband until his last breath, and I will get all my money back,",male be na srɔ̃nye va se ɖe eƒe gbɔgbɔ mamlɔe eye maxɔ nye howo katã
"» At the end, she tells us about her friend Sookie, a victim of breast cancer and who invites us not to let fear kill us",emegbe eƒo nu na mi kuɖe xɔ̃a Sookie sie kãsadɔ lé anɔ na eye wole miakpem be vɔvɔ̃ megazu kú awu mi o
My name is: camel.,Kposɔ woyɔam.
Thank you for this delicious moment,akpe ɖe ɣeyiɣi tɔxɛ sia ta
But I wouldn't pity her because it's for such challenges that intelligent people get up every morning.,anɔ abe ɣleti ɖeka enye esi si Tchad ƒe nyakaka dudɔnunɔla kpem va egbɔe
"Whoever wants the reward of the Hereafter, We give it to him, and We will soon reward the grateful","ne ame aɖe dzii le xexekeme me la, mianae eye miadze ame sia ame nana zãa aɖe ya"
"Cloé is beautiful, comes from a rich family and is about to marry the perfect man,",Cloé nya kpɔ eye wotso hotsuitɔ  ƒome me le dzadzra ɖo wɔ na srɔ̃ɖeɖe
"“We understand the inequalities associated with the previous brand name and face,” she added",yewo se masɔnyenye si nɔ ŋkɔ kple nɔnɔmetata xoxoa me la me
It is said that we are never ready to welcome a child,wogblɔa be wome dzrana ɖo ɖi na vitɔ́nyenye o
I understand better why Christine always takes so long to prepare,mese egɔme azɔ nu si ta Christine wɔa ɣeyiɣi geɖe ŋudɔ hedzrana ɖo
The little guinea fowl is the friend of the little hare.,Tsaxe sue nye fɔmizi suea ƒe xɔ.
"Maybe one day, during a traffic jam, I will ask him his name and if he comes from Teranga...",ɖewohĩ gbe ɖekaa le mɔdzadza ta la mabiae eŋkɔ kple ne Terãga wotso lae
"How are you doing,",aleke ne fɔ̃ ɖo
This is the question I asked one of my friends while tears were streaming down my face,nya siae mebia xɔnye ɖeka esi me aɖatsi nɔ gegem le monam
"My friends, my sisters, my aunts, my mothers","x$nyewo, nɔɖinyewo, n;lonyewo"
I realized that the main theme of the book is that of family in a more general way.,mese egɔme azɔ̃ be agbalẽa ƒe tanyagãe nye ƒomegbenɔnɔ
"I want him to understand that I am imperfect and that I could make mistakes,",medi be nenya be mede blibo eye be mateŋu da vo faa
"Between shopping and cooking, it took me almost the entire afternoon",nuƒeƒlea kple ɖaɖa la siaa xɔ ɣetrɔa katã le asinye
"Thank you @albantravia, my brother, this genius” wrote Clara Morgane, as a caption under her new photo",nufialagã Agnissan si fiana dzɔdzɔmenuwo la be ɑɖaŋunu siawo la te ŋu agblẽ miaƒe kadedewo me faa
- I understand,Mese wonyaa gɔme
