english,ewe
The Minister of Health Olivier Véran must hold a press briefing at the end of the day on the evolution of the Coronavirus epidemic,Olivie rveran sie nye lãmesẽnyawogbɔkpɔdudɔnunɔla la aɖe ale si koronadɔ le edzi yimm ɖe go ɣetrɔ sia
Two months of everyone trying to move on,ame ɖe sia ɖe dze eƒe mɔ
An “outlier” is a person whose life and successes are out of the ordinary.,Outler ƒe agbe to vovo saa
She says it's because of me that she goes on all these dates,ebe tanyee yeyia kpoekpe mawo katã ɖo
"I had a weakness for Kader, Sabel's husband","Kader, Sabel srɔ̃ nu dzɔdzi nam"
"It's not a jackal! It's a lion, he's bigger!","Menye lãklevie o. Eya lolo wu, dzata ye."
“I had worn a pair of panties,medo atakpuivi aɖe
"“Immediately upon leaving normal schools, young teachers are assigned to mostly isolated areas.”","nenye be wowu tsutsuɖo la nu ko la ,woɖoa njufiala yeyeawo ɖe dua ƒe kɔƒe didi aɖewo me"
"“Unfortunately, I wasn’t able to join the club before because of Covid-19, but things are going very well",dzɔgbe vɔẽtɔe la nyeme te ŋu ge ɖe ha me bla o le Covid nya ta ke hã nuwo le yiyim nyuie
"She is the only child of her parents and her father has always given her what she wanted,",enye vi ɖeka na dzilawo eye fofoa tsɔa nusianu nae
I did not pay attention to the brothers who were discussing in the courtyard,nyekpɔ nɔvinye siwo nɔ dze ɖom le xexe o
I can neither sleep nor read the Quran,nyemete ŋu le alɔ̃ dɔm loo alo le Korã xlem o
An alert system is triggered when they approach their victim,nyanananadzesi aɖe vana ne tukaɖawɔla la le evelia gogom
Become a volunteer,miwɔ lɔlɔnunyuidɔwo
"I could spend hours listening to him share his experience, and I hope one day to be as disciplined as him",mete ŋu tsɔa ɣeyiɣi geɖe sea eƒe numetotowo eye mele mɔ kpɔm be manye sedziwɔla abe ya ke ene
"“The Cameroonian state will be no exception, especially since it has the tools of repression.”",Kamalo ƒe dziɖuɖua maɖe ame aɖeke  le tohehe sia me o
"I just emptied my glass in one gulp, and approached him",ɖeko meno nye aha hete ɖe eŋu
they were terribly criminal but Terrance was more so,woaŋlɔ be eƒe dɔ si wɔm wole abia be nukata wole eƒe ɣeyiyi gum esime woanye amekola alo bank dzikpɔla
He's sick,hãnɔ wonye
"“It is important that our elites understand that the issue is not their power, but the fate of entire generations of young people.”",ele vevie be míaƒe agbalẽnyalawo nanyae be menye woƒe ŋusẽ ye le vevie o ko boŋ dzidzime si gbɔna la ƒe tsɔme
"€“ You don't know how to read,",menya nuxexlẽ o
"And while I still read fiction, nonfiction is much more useful to me right now",eye drɔ̃ekunuwo alo bubuwo xexlẽ le vevie nam fifia
"I will leave my copy at the Eulis Center for those who want to read it,",maɖasi ɖe Centre Eulis na amesiwo adi be yéwoa xlẽ
The poor man has no idea what his daughter is doing with her life and I understand that.,menya nu si via wɔna kple eƒe agbe o eye mese esia gɔme nae
"The gate was closed, when I held the wrist",agboa nɔ tutu esi mele alɔnua la
You will learn it the hard way.,Asrɔ emetsonuwo kple wo agbe.
"It's a shame when certain works are themselves full of mistakes,",ewɔ nuzizĩ ne agbãlɛ aɖewo yɔ kple vo dadawo
Don't be fooled by the serious issues I mentioned above.,nya sesẽ siwo meɖe ɖego vayi la mega ɖo vɔvɔ̃ na mi o
I was so exhausted when I got home that all I wanted to do was sleep.,ne meɖo aƒeme la alɔ̃dɔdɔ koe dzroam
"Bouc said Thioum, thought for a moment and said to him:","Gbɔtui wɔ tsium, bu tame vie gblɔ nae be,"
"These women receive training in sewing, hairdressing, and baking","nyɔnu siawoxɔa hehe le ɖaƒoƒo, nutɔtɔ kple nuɖaɖa gome"
