english,twi
The police are investigating the mismanagement of tea project money and disappearance of project files.,Polisifoɔ no reyɛ tea dwumadie sika a wɔanhwɛ so yie no nhwehwɛmu ne dwumadie no nkrataa a ɛyeraeɛ no.
The council has informed people to contribute money towards the construction of a stadium.,Agyinatukuo no abɔ nkurɔfo amanneɛ sɛ wɔmfa sika mma mfa nsi agumadibea.
People are resorting to saving money on mobile money other than banks.,Nkorɔfoɔ de wɔn sika resie wɔn foono sika so kyɛn sikakorabea.
The headteacher was arrested for asking students' money to bribe invigilators.,Wɔkyeree sukuupanin no so ɔbisaa sika firii asuafoɔ no hɔ sɛ ɔde reyɛ ademudeɛ ama wɔn a wɔhwɛ nsɔhwɛ so no.
I bought the pain killers from the pharmacy outside the hospital.,Metɔɔ nnuru a wɔde kum ɛyaw no fii nnurutɔnbea a ɛwɔ ayaresabea no akyi no.
The community needs access to clean and safe water.,Mpɔtam hɔfo hia nsu a ɛho tew na ahobammɔ wom.
How much money was allocated for the construction of the bridge?,Sika ahe na wɔde sii abɔntenban no?
"After saving some money, he started selling sandals.","Bere a ɔkoraa sika bi so akyi no, ofii ase tɔn mpaboa."
Low pay scales and wages has led to corruption among police officers.,Akatua nsenia ne akatua a ɛba fam no ama adifudepɛ aba polisifoɔ mu.
People were complaining about water shortage in that area.,Na nkorɔfoɔ renwiinwii wɔ nsuo a asa wɔ mpɔtam hɔ.
Not all new seeds on market are resistant to pests and diseases.,Ɛnyɛ aba foforo a ɛwɔ gua so nyinaa na ɛko tia mmoawa ne nyarewa.
He was arrested and taken to prison until the debt was paid.,Wɔkyeree no de no kɔɔ afiase kosii sɛ wotuaa ɛka no.
The project generally aims at creating a market for farm products and gives farmers a number of benefits in the Nandom districts,Dwumadie no botaeɛ ne sɛ ɛbɛma wɔanya dwa ama kuayɛ nnoɔma na ɛma akuafoɔ nya mfasoɔ dodoɔ bi wɔ Nandom mansini mu.
"The money should be used to solve our challenges, addressing our current difficulties.","sika no ɛsɛ sɛ yɛde boa siesie yɛn haw, ɛnhwɛ yɛn mprɛmprɛn haw."
A discontented parent said failure to pay three thousandcedis got her daughter sent home.,Awofoɔ bi a ne bo nnwo ne ho kaa sɛ tua a wantumi antua Ghana sika sidi mpem mmiɛnsa na ɛde ne ba baa baa efie.
The president advised people to divert from cash crops to food crops.,Ɔmanpanin no tuu nkorɔfoɔ fo sɛ wɔnsesa mfiri sika nnuaba so nkɔ nnuane nnuaba.
People in the rural areas prefer to get water from streams because the boreholes are far away from them.,Nkorɔfoɔ a wɔwɔ nkuraase no pɛ sɛ wɔsa nsuo wɔ nsutene mu ɛfiri sɛ wɔn nsuo a wɔatu ama wɔn no mu wa firi wɔn nkyɛn.
