english,ga
"What happened in George, South Africa on the sixth of May?",Mɛni ba George nɔ yɛ South Africa yɛ May gbi ni ji ekpaa lɛ nɔ?
What are the main methods for controlling Lymphatic Filariasis (LF)?,Mɛni ji gbɛi titrii ni atsɔɔ nɔ akwɛɔ hela ni haa mɔ he jɔ̃ɔ ehe (LF) lɛ nɔ?
"What happened to Michael Sang Correa, a Gambian man living in the US?",Mɛni ba Gambianyo ko ni atsɛɔ lɛ Michael Sang Correa ni yɔɔ Amerika lɛ nɔ?
I'm interested in learning about the Asantemanso sacred grove in Ghana. Can you tell me about the types of plants found there?,Miyɛ he miishɛɛ akɛ male Asantemanso Tso Krɔŋkrɔŋ ni yɔɔ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi tsei srɔtoi ni anaa yɛ jɛmɛ lɛ ahe sane?
"What is the Financial Stability Advisory Council, and when did it hold its twenty-second Council meeting?","Mɛni ji Shika He Saji Ahe Ŋaawolɔi Akuu lɛ, ni mɛɛ be Akuu lɛ fee kpee ni ji nyɔŋmai enyɔ kɛ enyɔ lɛ?"
What is corporate governance and who are the main participants involved?,Mɛni ji nitsumɔhe nɔyeli ni namɛi ji mɛi titri ni kɛ amɛhe woɔ mli?
What happened at Osu on the twenty-ninth of December in the year twenty nineteen?,Mɛni ba yɛ Osu yɛ December nyɔŋmai enyɔ kɛ nɛɛhu lɛ nɔ afii nyɔŋmai enyɔ kɛ nɛɛhu?
I've been reading about the uses of certain plants in Ghana. Can you tell me more about the other uses of plants besides food?,Mikaneɔ bɔ ni akɛ tsei komɛi tsuɔ nii yɛ Ghana lɛ he sane. Ani obaanyɛ okɛɛ mi nibii babaoo ni kɔɔ tsei ni akɛtsuɔ nii kɛfataa niyenii he lɛ he?
I'm curious about the factors that influence consumer buying behavior of local cuisine in Ghana. Can you tell me more about it?,Miitao male nibii ni náa maŋbii ni yeɔ niyenii yɛ Ghana lɛ ahemɔ su nɔ hewalɛ. Ani obaanyɛ okɛɛ mi ehe saji babaoo?
I'm interested in learning about the regulations surrounding street food vendors in Ghana. What are the different licenses and individual needs required to operate fully as a vendor?,Miyɛ mlai ni kɔɔ gbɛjegbɛ nɔ niyenii ni ahɔ̃ɔ yɛ Ghana lɛ he lɛ he miishɛɛ. Mɛni ji gbɛŋmɛɛ woji srɔtoi kɛ taomɔ nii ni aŋkroaŋkroi taoɔ koni amɛtsu nii jogbaŋŋ akɛ nihɔɔlɔ?
I'm interested in learning more about wound healing models. Can you tell me about the different types of models used to evaluate the influence of an agent on the healing process?,Miyɛ he miishɛɛ akɛ makase pilamɔi tsamɔ he nɔkwɛmɔnii babaoo. Ani obaanyɛ okɛɛ mi nɔkwɛmɔnii srɔtoi ni akɛpɛiɔ bɔ ni tsofa ko tsuɔ nii ehaa yɛ helatsamɔ gbɛjianɔtoo lɛ mli lɛ he sane?
I'm looking into maintenance practices in the manufacturing industry in Ghana. Can you tell me a bit about the research in this area?,Miikwɛ nitsumɔi ni akɛsaa nibii yɛ nitsumɔhe ni feɔ nibii yɛ Ghana lɛ. Ani obaanyɛ okɛɛ mi niiamlitaomɔ ni afee yɛ nɛkɛ he nɛɛ he sane fioo?
I've heard that banks play a crucial role in Ghana's economic development. Can you explain how they contribute to this growth?,Minu akɛ shikatoohei tsuɔ gbɛfaŋnɔ ko ni he hiaa waa he nii yɛ Ghana shika helɛtemɔ mli. Mɛɛ gbɛ nɔ otsɔɔ oyeɔ obuaa kɛha nɛkɛ dalɛ nɛɛ?
I'm interested in learning about qualitative research. Can you explain why qualitative research was chosen for this project?,Miyɛ niiamlitaomɔ ni hi jogbaŋŋ he miishɛɛ. Ani obaanyɛ otsɔɔ nɔ hewɔ ni ahala niiamlitaomɔ ni hi jogbaŋŋ kɛha nitsumɔ nɛɛ mli?
I've been reading about the increasing burden of cancer in Africa. Can you tell me more about the current situation?,Mikane kansa hela ni miiya hiɛ yɛ Afrika lɛ he sane. Ani obaanyɛ okɛɛ mi shihilɛ ni yɔɔ amrɔ nɛɛ he saji babaoo?
I'm interested in learning about employee motivation. What are some of the key theories that researchers have proposed to explain what drives employees to perform well?,Miyɛ nitsulɔi ayiŋtoo he miishɛɛ. Mɛni ji susumɔi titrii komɛi ni niiamlitaolɔi kɛba koni amɛkɛtsɔɔ nɔ ni kanyaa nitsulɔi koni amɛtsu nii jogbaŋŋ lɛ mli?
What is the name of the new gospel show launched by Nii Noi on Hitz FM?,Mɛni ji sanekpakpa nifeemɔ hee ni Nai Noi je shishi yɛ Hitz FM lɛ gbɛi?
What happened during the town hall meetings in Kaleo and Wechiaw on the twenty-ninth of November in the year twenty nineteen?,Mɛni ba yɛ Kaleo kɛ Wachiew maŋ asa nɔ kpeei ni afee yɛ November afi ni ji nyɔŋmai enyɔ kɛ nɛɛhu lɛ nɔ?
I'm interested in learning more about tax reform in Ghana. What are some key considerations for a successful tax system reform in developing countries?,Miyɛ he miishɛɛ akɛ makase tooyeli tsakemɔ ni afeɔ yɛ Ghana lɛ he nii babaoo. Mɛni ji saji titrii komɛi ni baaha tooyeli tsakemɔ aye omanye yɛ maji ni eyaa hiɛ lɛ amli?
What is the current protest at the US Embassy in Accra about?,Mɛni ji shitee-kɛ-woo ni yaa nɔ amrɔ nɛɛ yɛ U.S. maŋsɛɛ sanekpakpa shiɛlɔi anitsumɔhe ni yɔɔ Accra lɛ?
I'm interested in learning more about mobile insurance in Ghana. Can you tell me a bit about how it works?,Miyɛ he miishɛɛ akɛ male nibii babaoo yɛ mobile inshuɔrans he yɛ Ghana. Kɛɛmɔ mi bɔ ni etsuɔ ​​nii eha lɛ he sane fioo?
"What is the current state of tourism in Ghana, and how does it contribute to the country's economy?","Te shisharamɔ shihilɛ ji tɛŋŋ yɛ Ghana amrɔ nɛɛ, ni mɛni ji yelikɛbuamɔ ni ekɛhaa maŋ lɛ shika helɛtemɔ?"
What is the Ghana Union of Traders' Associations (GUTA) expecting from the two thousand and twenty-five bitsudget Statement?,mii
"What was the outcome of the two thousand and twenty-five AFCON qualifier match between Ghana and Sudan on Thursday, the tenth of October in the year twenty twenty-four?","Mɛni jɛ 2025 Africa Cup of Nations akaŋshii ni Ghana kɛ Sudan fee yɛ Hɔɔ, October gbi ni ji nyɔŋma lɛ mli ba?"
What were the main objectives of the study on women in management in tertiary institutions in Ghana?,Mɛni ji otii titrii ni yɔɔ nikasemɔ ni kɔɔ yei akwɛmɔ he yɛ nitsumɔhei wuji ni yɔɔ Ghana lɛ mli?
