English,Hausa
When was the last time you made your bed?,Yaushe ne karo na ƙarshe da ka shirya shimfiɗar baccinka?
When was the last time you played violin?,Yaushe ne karo na ƙarshe da ka wasa Goge?
When was the last time you saw Ali smile?,Yaushe ne karo na ƙarshe da ka ga Ali ya yi murmushi?
When was the last time you talked to Ali??,Yaushe ne karo na ƙarshe da ka yi magana da Ali?
When was the last time you threw a party?,Yaushe ne karo na ƙarshe da ka shirya bikin murna?
When was the last time you took a shower?,Yaushe ne karo na ƙarshe da ka yi wanka?
When were potatoes introduced into Japan?,Yaushe ne aka fara shigar da dankali ƙasar Japan?
Where did you go on your summer vacation?,Yaushe ne ka tafi ka yi hutun bazara?
Where did you spend your summer vacation?,A ina ka yi hutunka na bazara?
Where do I go after I pick up my baggage?,Ina zan tafi bayan na ɗauki jakar kayana?
Where do you usually go to get a haircut?,Ina ne ka saba zuwa domin a yi maka aski?
Where were you when Ali needed your help?,Ina ka shiga lokacin da Ali yake buƙatar taimakonka?
"Which came first, the chicken or the egg?","Wannene ake fara samarwa, kaza ko ƙwai?"
"Which color do you prefer, blue or green?","Wanne launin ka fi so, shuɗi ko kuwa kore?"
"Which do you usually drink, wine or beer?","Wanne ka saba sha, tsimin inibi ko kuma giya?"
Which room do you want me to clean first?,Wanne ɗakin kake so na fara sharewa?
"Who can speak French better, Ali or Mary?","Wanene ya fi iya magana da Faransanci, Ali ko Mary?"
Who do you think will win the tournament?,Wa kake tunanin zai cinye wannan gasar?
Who is going to pick up the tab for this?,Wanene zai biya kuɗin wannan?
Who is the manager of that baseball team?,Wanene shugaban waccan ƙungiyar ƙwallon ta baseball?
Who threw this stone through that window?,Wanene ya jefo wannan dutsen ta cikin waccan tagar?
Whose idea was it to pitch the tent here?,Wanene ya kawo basirar a kafa tanti a nan?
Why are you pretending you don't know me?,Me ya sa kake nuna kamar ba ka sanni ba?
Why aren't you already on board the ship?,Me ya sa tun tuni baka hau jirgin ruwan ba?
Why didn't you come to yesterday's party?,Me ya sa ba ka zo bikin murna na jiya ba? 
Why didn't you tell us about this sooner?,Me ya sa ba ka yi mana bayanin hakan da wuri ba? 
Why do you want to be alone all the time?,Me ya sa kake son zama kai kaɗai a kowane lokaci?
Why doesn't he eat lunch with me anymore?,Me ya sa ba ya cin abincin rana da ni kwata-kwata?
Why don't we go to the bookstore on foot?,Me ya sa ba za mu je shagon sayar da littattafan ba a ƙafa?
Why don't you come over after work today?,Me ya sa ba za ka zo ba yau bayan ka tashi daga aiki?
Why don't you stop by for a little while?,Me ya sa ba za ka ɗan jira ba kaɗan?
Why don't you try on this yellow sweater?,Me ya sa ba za ka gwada sanya wannan suwaitar mai launin rawaya ba?
Why he killed himself is still a mystery.,"Me ya sa ya kashe kansa, har yanzu abu ne mai wahalar fahimta."
Why is Mary going with him to the picnic?,Me ya sa Mary za ta tafi  tare da shi zuwa fikinik?
Why should I tell the truth if you won't?,Me ya sa zan faɗi gaskiya idan kai ba za ka yi ba?
Why would I want to have dinner with Ali??,Me ya sa zan so na ci abincin dare tare da Ali?
Will the strike affect the price of coal?,Shin yajin aikin zai shafi farashin kwal ɗin?
Will this medicine really do me any good?,Shin wannan maganin zai yi mini wani aiki sosai?
Will you be eating here or is this to go?,Shin za ka ci abincin a nan ne ko kuwa tafiya za ka yi?
Will you explain the last part in detail?,Shin za ka iya yi mana cikakken bayanin gaɓar ƙarshe?
Will you help me with my French homework?,Shin za ka iya taimaka mini da aikin gidana na yaren Faransanci?
Will you look after my dog while I'm out?,Shin zaka kula min da karena yayin da na fita?
Will you please shut up and listen to me?,Shin don Allah ba za ka yi min shiru ba ka saurare ni?
Will you take us for a drive next Sunday?,Za ka kaimu unguwa a mota ranar Lahadi mai zuwa?
Winter is the coldest season of the year.,Hunturu shi ne lokaci mafi sanyi a cikin kaka na shekara.
Women don't usually want to talk with me.,Mata yawanci ba su fiya son yi min magana ba.
Would you agree to the plan in principle?,Shin za ka amince da tsarin da aka tsara?
Would you care for another glass of beer?,Shin ba damuwa idan aka ƙaro maka wani kofin giyar?
Would you like for me to do that for you?,Shin ka amince na yi maka?
Would you like me to repeat the question?,Shin kana so na maimaita tambayar?
Would you like to go out with me tonight?,Kana son fita tare da ni da daddare?
Would you please look after the children?,Shin don Allah za ka kula da yaran?
Would you please pour me a cup of coffee?,Shin don Allah za ka iya zubo min kofi ɗaya na kofi?
Would you please tell me when to get off?,Don Allah ba za ka sanar da ni lokacin tashi ba?
Wouldn't it be better if I went with you?,Shin ba zai fi kyau ba idan na tafi tare da kai?
Yesterday it rained the entire afternoon.,A yammacin jiya an wuni ana ruwan sama.
You and I are going to have a lot of fun.,Ni da kai za mu nishaɗantu sosai.
"You are beginners, but you learn quickly.","Ku masu farawa ne, amma kuna koya cikin sauri."
"You are sure to succeed, whatever you do.","Kana da tabbacin samun nasara, duk abin da ka aikata."
You can count on me to be there by 10:00.,"Ka yarda da ni, zan isa wajen da misalin ƙarfe 10:00."
You can mix different foods in a blender.,Za ka iya cakuɗa abinci daban-daban a cikin blenda.
You can read any book that interests you.,Za ka iya karanta duk littafin da yake ƙayatar da kai.
"You can still swim quite well, can't you?","Duk da haka za ka iya yin ninƙaya da kyau, ba za ka iya ba?"
You can't believe anything that guy says.,Ba za ka amince da dukkanin abin da  wancan mutumin ya faɗa ba.
You can't blame Ali for wanting to leave.,Bai kamata ka ga laifin Ali don yana son tafiya ba.
You can't blame all your bad luck on Ali?.,Bai kamata ka ɗora wa Ali alhakin dukkanin rashin sa'arka ba.
You can't fool me with a trick like that.,Ba za ka wautar da ni da irin wannan dabarun ba.
You can't pick who you fall in love with.,Ba za ka iya zaɓar wanda za ka afka cikin soyayyarsa ba.
You can't separate language from culture.,Ba za ka iya raba yare daga cikin al'ada ba.
You can't stop someone from lying to you.,Ba za ka iya hana wani ya yi maka ƙarya ba.
You don't even know who sent this to you.,Ba ka san ma wanene ya aiko maka da wannan ba.
You don't have to answer these questions.,Ba sai ka amsa waɗannan tambayoyin ba.
You don't have to go to school on Sunday.,Ba sai ka je makaranta ranar Lahadi ba.
"You don't know how that happened, do you?","Ba ka san yaya hakan ya faru ba, ka sani?"
You don't need to worry about me anymore.,Babu buƙatar ka damu da ni kwata-kwata.
"You don't really want to do this, do you?","Haƙiƙa ba ka son aikata hakan, shin kana so?"
You don't seem to be yourself these days.,Kwanan nan kamar ba kai ba.
"You don't want me to miss my bus, do you?","Ba za ka so na rasa motar bas ɗina ba, shin za ka so? "
You get on the phone and call the doctor.,Ka ɗauki wayar ka kira likita.
You had better ask him which way to take.,Ya kamata a ce ka tambaye shi wacce hanya za a bi?
You had better ask the doctor for advice.,Ya kamata a ce ka tambayi likita don ya ba ka shawara.
You had better stay here a little longer.,Gara ma ka tsaya a nan ka daɗe kaɗan.
"You have a little fever today, don't you?","Kana fama da zazzaɓi kaɗan yau, ko ba ka ji?"
"You have a lot of money, and I have none.","Kana da kuɗi masu yawa, ni kuma ba ni da ko ɗaya."
You have an e-mail message in your inbox.,Kana da saƙon email a cikin akwatun saƙonninka.
You have little to gain and much to lose.,"Ribar da za ka ci kaɗan ce, za ka yi asara mai yawa."
"You have no idea what that means, do you?","Ba ka san me hakan yake nufi ba, ka sani?"
You have three hours to meet our demands.,Kana da sa'oi uku don ka cimma buƙatunmu
You have to use your brains in this work.,Dole ne ku yi amfani da ƙwaƙwalenku a wannan aikin.
"You knew this was going to happen, right?","Ka san haka zai faru, haka ne?"
You know how much Ali loves Chinese food.,Ka san dai yadda Ali yake son abincin 'yan ƙasar Sin.
You look depressed. Did something happen?,"Kamar kana cikin damuwa, shin wani abu ya faru ne?"
You may eat anything in the refrigerator.,Za ka iya cin duk abin da ke cikin  firji.
You may use my typewriter if you want to.,Za ka iya amfani da tafiretata idan kana so.
You might want to save some cake for Ali?.,Kana so ka ajiye wa Ali kek ko?
You must admit that you are in the wrong.,Dole ka yarda cewa kana cikin kuskure.
You must be careful not to drop the eggs.,Dole ne ka kula kar ka zubar da ƙwayayen.
You must be friendly with your neighbors.,Dole ne ka zama mai haba-haba da maƙwabtanka.
You must be out of your mind to say that.,Amma kuwa ba ka da hankali in dai ka faɗi haka.
You must be tired after such a long trip.,Ai dole ka gaji bayan irin wannan doguwar tafiya.
You must do it even if you don't want to.,"Dole ne ka aikata, ko da kuwa ba ka son aikatawa."
You must go outside if you want to smoke.,Dole ne ka fita waje idan kana son shan taba.
You must not eat anything for a few days.,Dole ne ka ƙi cin komai na 'yan kwanaki.
You need to work on saving your marriage.,Ya kamata ka himmatu wajen tseratar da aurenka.
You never told me you could speak French.,Ba ka taɓa faɗa min cewa za ka iya magana da Faransanci ba.
You of all people should appreciate that.,Mutane ya kamata dukkanin ku ku yaba wa hakan.
You only have to follow the instructions.,Kaɗai abin da ya dace shi ne ka bi umarni.
"You remember what it was like, don't you?","Ai ka tuna yadda abin yake, shin ba ka tuna ba?"
You remind me of somebody I used to know.,Ka tuna min da wani mutum da na sani.
You should be able to walk in a few days.,Za ka iya taka ƙafarka a cikin 'yan kwanaki.
You should be more careful the next time.,Ya kamata ka kula sosai nan gaba.
You should have attended today's meeting.,Ya kamata a ce ka halarci taron yau.
You should have helped him with his work.,Ya kamata a ce ka taimake shi a kan aikinsa.
You should have thrown that picture away.,Ya kamata a ce ka jefar da wancan hoton.
You should read as many books as you can.,Ya kamata a ce ka karanta litattafai iya iyawarka.
You should take advantage of this chance.,Ya kamata ka yi amfani da wannan damar.
You should take care of your sick mother.,Ya kamata ka kula da mahaifiyarka da ke rashin lafiya.
You shouldn't have told him such a thing.,Bai kamata ka faɗa masa irin wannan abin ba.
You shouldn't speak with your mouth full.,Bai kamata ka dinga sakin baki sakaka ba.
You took the words right out of my mouth.,Ka faɗi abin da ke cikin raina.
"You were a soldier during the war, right?","Kai soja ne a lokacin da ake yaƙin, haka ne?"
"You were never very happy here, were you?","Ba ka farinciki sosai da  kasancewar ka a nan, haka ne?"
"You were with Ali yesterday, weren't you?","Jiya kana tare da Ali, ko ba haka ba?"
You will come to like this kind of music.,Za ka zo ka fara jin daɗin irin wannan kiɗan.
You will find this book very interesting.,Za ka ga yadda littafin nan zai ƙayatar da kai.
You will find this game very interesting.,Za ka ji daɗin wannan wasan sosai.
You will have to go to England next year.,Dole za ka tafi zuwa Ingila shekara mai zuwa.
You won't have any more trouble with Ali?.,Ba za ka ƙara samun matsala ba da Ali?
You'd better come up with something fast.,Ya kamata a ce ka zo da wani abu cikin sauri.
You'd better not have drunk all the milk.,Zai kyautu a ce ba ka shanye duka madarar ba.
You'll find something that interests you.,Za ka samu abin da zai ba ka sha'awa.
You'll have to stand on your toes to see.,Dole ne ka tsaya a kan dugaduganka idan kana son gani.
You'll miss the train if you don't hurry.,Za ka rasa jirgin ƙasan idan ba ka yi sauri ba.
You'll never guess where we've just been.,Ba za ka taɓa iya cankar inda muke ba.
You'll understand all of this eventually.,Da sannu za ka fahimci duka waɗannan abubuwan.
You'll want for nothing while I am alive.,Ba za ka rasa komai ba matuƙar ina raye.
You're better off not getting in his way!,Zai fi maka kyau ka daina shiga harkarsa.
"You're dating a Keio student, aren't you?","Kana yin soyayya da ɗalibar Keio, ko ba kai ba ne?"
You're not as smart as you think you are.,Yadda kake tunanin kana da basira ba fa haka ba ne.
"You're not really a millionaire, are you?","Haƙiƙa kai ba miloniya ba ne, ko shi ne?"
You're not responsible for what happened.,Ba kai ne ke da alhakin abin da ya faru ba.
"You're not supposed to do that, you know.","Bai kamata ka yi haka ba, ka sani."
You're one of the people in this picture.,Kana ɗaya daga cikin mutanen da ke cikin wannan hoton.
You've asked me that three times already.,Ka tambaye ni hakan sau uku tun tuni.
You've got a good head on your shoulders.,Kana da ɗabi'u masu matuƙar kyau.
You've got to take the bull by the horns!,Dole ne ka tunkari wannan matsala kai tsaye.
"You've lost a little weight, haven't you?","Ka ɗan rame kaɗan, ko baka rame ba?"
Young people tend to take things too far.,Matasa sun fi ɗaukar al'amura da zafi.
Your attitude towards women is offensive.,Yanda kake mu'amalantar mata ba daidai ba ne.
Your new hair style makes you look older.,Sabon kitson da kika yi ya mayar da ke kamar tsohuwa.
Your parents can't keep us apart forever.,Iyayenki ba za su iya raba mu ba har abada.
Your problem is you're easily distracted.,"Matsalarka shi ne, ana ɗauke maka hankali cikin sauƙi."
Your work is far from being satisfactory.,Aikinka bai gamsar ba kwata-kwata.
"A Happy New Year! ""I wish you the same!""","Barka da sabuwar shekara! ""Kai ma ina yi maka fatan hakan!"""
"Do you think he will come? ""I hope not.""","Kana tunanin zai zo? ""Ba na fatan hakan."""
"Shall I take a message? ""No, thank you.""","Zan iya ɗaukar saƙon? ""A'a, na gode."""
"Tatoeba means ""for example"" in Japanese.","Tatoeba a yaren ƙasar Japan yana nufin ""alal misali."""
"Thanks for the help. ""Don't mention it.""","Na gode da taimakon da ka yi. ""Ba komai."""
"This isn't mine. ""It's not mine either.""","Wannan ba nawa ba ne. ""Ni ma ba nawa ba ne."""
"What time is it now? ""It's ten o'clock.""","Ƙarfe nawa yanzu? ""ƙarfe goma daidai."""
"Where is your house? ""It is over there.""","Ina gidanku yake? ""Yana ta can."""
"Whose keys are these? ""They are Mary's.""","Waɗannan mukullayen wane? ""Na Mary ne."""
"Would you like to go with me? ""You bet!""","Kana son ka tafi tare da ni? ""Ƙwarai kuwa!"""
A baseball came flying through the window.,Ƙwallon baseball ta tashi ta shigo ta cikin taga.
A boxer and an actor are coming toward us.,Ɗan wasan dambe da ɗan wasan kwaikwayo suna tahowa wajenmu.
A boy and a girl are sitting on the fence.,Yaro da yarinya suna zaune a kan katanga.
A budget deficit must be financed somehow.,Dole a nemo kuɗi ko yaya ne idan aka yi kasafin da ya wuce kuɗin da ake da shi.
A change of air will do you a lot of good.,Canja gurin zama zai ja maka alheri sosai.
A dolphin is no more a fish than a dog is.,Wai kura ce za ta ce da kare maye.
A few old buildings need to be demolished.,Akwai buƙatar rushe wasu tsirarun tsofaffin gine-gine.
A fire can spread faster than you can run.,Wuta za ta iya yaɗuwa cikin sauri sama da yadda za ka iya gudu.
A friend is hard to find and easy to lose.,Aboki yana da wahalar samuwa kuma yana da saurin kuɓucewa.
A good purpose makes hard work a pleasure.,Manufa mai kyau na sanya aiki mai wahala ya zama mai sauƙi.
A great deal has happened since that time.,An cimma matsaya babba tun wannan lokacin.
A lot has happened while you've been gone.,Abubuwa da dama sun faru yayin da ka tafi.
A lot of people are interested in camping.,Mutane da dama suna son ya da zango.
A lot of people are starving in the world.,Mutane da dama na cikin yunwa a duniya.
A lot of people think that bats are birds.,Mutane da dama na zaton jemagu ma tsuntsaye ne.
"Occasionally, a mirage appears over Toyama Bay","Lokaci zuwa lokaci, kawalwainiya tana bayyana a Toyama Bay."
A person is known by the company he keeps.,Ana gane mutum ne ta nau'in abokansa.
A trip to Hawaii costs around 200 dollars.,Tafiya zuwa jihar Hawaii na cin kuɗin da ya kai dala 200.
A true scientist wouldn't think like that.,Masanin kimiyya na haƙiƙa ba zai yi tunani irin haka ba.
A war broke out between the two countries.,Yaƙi ya ɓarke tsakanin ƙasashe guda biyu.
A well is a place where you can get water.,Rijiya ce wajen da za ka samu ruwa.
"A year later, he visited the Soviet Union.","Bayan shekara ɗaya, ya kai ziyara Daular Sobiyet."
Admission to the museum is thirty dollars.,Kuɗin shiga gidan adana kayan tarihi dala talatin ne.
Africa was once called the Dark Continent.,An taɓa kiran Afirka da sunan Nahiya mai Duhu.
"After that incident, he never drank again.","Bayan Faruwar al'amarin, bai ƙara shan giya ba."
All the cars in this garage belong to Ali?.,Duka motocin da ke cikin garejin nan na Ali ne?
All the students forgot to read that book.,Duka ɗaliban sun manta su karanta wancan littafin.
All you have to do is to push this button.,Abin da za ka yi kawai shi ne ka danna wannan madannin.
All you need is to get a driver's license.,Abin da kake buƙata kawai shi ne lasisin tuƙi.
"Although he may be clever, he is not wise.","Ko da yake zai iya kasancewa mai wayo, amma ba shi da hikima."
Always pay attention to your surroundings.,Kodayaushe ka mai da hankali kan abubuwan da ke kewaye da kai.
America is not the most democratic nation.,Ƙasar Amurka ba ita ce ƙasar da ta fi yin dimukuraɗiyya ba.
Answer the following questions in English.,Ka amsa tambayoyi masu zuwa da harshen Turanci.
"Anything that can go wrong, will go wrong.",Duk abin da zai iya samun matsala to zai samu matsala.
Applicants must be under thirty years old.,Dole ne wanda yake nema shekarunsa su kasance ƙasa da talatin.
Are these the glasses you are looking for?,Waɗannan su ne gilasan da kake nema?
Are you familiar with the rules of soccer?,Ka san dokokin wasan ƙwallon ƙafa?
Are you going to send this by parcel post?,Shin za ka aika wannan ne ta ƙunshin gidan waya?
Are you going to take part in the contest?,Shi za ka shiga cikin gasar?
Are you just going to stand there all day?,Shin a can za ka wuni?
Are you planning on buying a new computer?,Kana shirin siyan sabuwar na'ura mai ƙwaƙwalwa ne?
Are you really going on the date with Ali??,Shin da gaske za ku fita ku yi zance ne da Ali?
Are you saying that your house is haunted?,Shin cewa kake kenan gidanka akwai fatalwa?
Are you saying what I think you're saying?,Kenan kana faɗar abin da nake tunanin kana faɗa?
Are you spending Valentine's Day with Ali??,Za ki kasance da Ali kenan a ranar masoya?
Are you still looking for something to do?,Shin har yanzu kana neman abin da za ka yi ne?
Are you sure Ali was the one who did this?,Ka tabbatar cewa Ali ne ya yi wannan?
Are you sure you don't want to go with us?,Ka tabbatar cewa ba ka son ka tafi tare da mu?
Are you sure you pressed the right button?,Ka tabbatar cewa ka dannan madannin da ya dace?
"As a result of the blow, he became insane.","Sakamakon bugun, ya zama mahaukaci."
"As far as I know, he is a reliable friend.","A iya sanina, shi aboki ne abin dogaro."
"As far as I know, no one has ever done it.","A iya sanina, babu wanda ya taɓa yin haka."
"As far as I know, they are still together.","A iya sanina, har yanzu suna tare."
"As long as it doesn't get cold, it's okay.","Matuƙar dai bai yi sanyi ba, to shikenan."
"As soon as he went to bed, he fell asleep.","Da zarar ya kwanta, shikenan sai bacci."
"As soon as she saw me, she started to cry.","Da zarar ta gan ni, sai ta fara kuka."
"Aside from Ali?, I don't know anyone there.",Ban da Ali? ban san kowa ba a wajen.
Ask Ali if he's willing to work part-time.,Ka tambayi Ali idan yana son ya yi aikin wucingadi.
"At any rate, we can't change the schedule.","Ko ma yaya ne, ba za mu iya canja jadawalin ba."
"At this hour, there is incredible traffic.","A wannan sa'ar, akwai cunkoson ababen hawa sosai."
Atlantic City is famous for its boardwalk.,Birnin Atlantic ya shahara sakamakon gadar katako da yake da shi.
Aunty Kelly treated us to ice cream today.,Inna Kelly ta ba mu askirim yau.
Be careful. Don't throw away those papers.,"Ka kula, kar ka jefar da waɗannan takardun."
"Because of Ali?, Mary has become depressed.",Saboda Ali? Mary ta shiga damuwa.
"Because of the snow, the train didn't run.","Saboda dusar ƙanƙara, jirgin ƙasan bai yi aiki ba."
Binge drinking is harmful for your health.,Shan giya mankas yana da cutarwa ga lafiyarka.
Boil the soup down until it becomes thick.,Ka tafasa miyar sosai har sai ta yi kauri.
Both of my parents are not strict with me.,Duka iyayena ba sa tsananta mini.
Both of the girls are wearing white suits.,Duka 'yan matan guda biyu suna sanye da fararen kwat.
Both of your daughters are very beautiful.,Duka 'ya'yanka mata guda biyu suna da kyau sosai.
Brazil has almost 200 million inhabitants.,Ƙasar Barazil tana da mazauna kusan miliyan 200.
Bread and butter is their usual breakfast.,Biredi da bota shi ne yawancin abincin karin kumallonsu.
Bucharest has a population of 2.1 million.,Birnin Bucharest yana da adadin mutane miliyan 2.1.
Buddhism was introduced into Japan in 538.,Addinin Budah ya fara shiga ƙasar Japan ne a shekarar 538.
Can I ask why this is so important to you?,Zan iya tambayar me yasa wannan yake da muhimmanci a gare ka?
Can I talk to you in private for a minute?,Zan iya magana da kai a keɓance na minti ɗaya?
Can it be true that she committed suicide?,Ba zai zama gaskiya ba a ce ta kashe kanta.
Can you let me have it for thirty dollars?,Ba za ka bar min shi ba a dala talatin?
Can you recommend a good dictionary to me?,za ka iya faɗa min ƙamusu mai kyau da ya dace da ni?
Can you take over the driving for a while?,Za ka iya karɓar tuƙin na ɗan lokaci?
Can you teach me how to play the bagpipes?,Za ka iya koya min yanda ake busa kakaki?
Can you tell me how to get to the airport?,Za ka iya yi min kwatance zuwa filin sauka da tashin jiragen sama?
Can you tell me how to get to the station?,Za ka iya yi min kwatance zuwa tasha?
Cancer can be cured if discovered in time.,Za a iya magance cutar daji idan aka gano da wuri.
Cats were sacred animals in ancient Egypt.,Za a iya magance cutar daji idan aka gano ta a kan lokaci.
Children really like playing on the beach.,Haƙiƙa yara suna son yin wasa a bakin teku.
Children should be allowed to be children.,Ya kamata a bar yara su ci yarintarsu.
Churches were erected all over the island.,Gin-ginen coci-coci sun yi tsayi a baki ɗayan tsibirin.
Cleaning up after the party was no picnic.,Share guri bayan bikin murna ba shi da daɗi.
Close your eyes and tell me what you hear.,Rufe idanunka ka faɗa min me kunnenka ya ji.
Compare the translation with the original.,Ka kwatanta fassarar da na ainihi.
"Compared to his brother, he's not so wise.","Idan aka kwatanta shi da ɗan uwansa, ba shi da hikima."
Could I possibly talk to you for a moment?,shin zan iya magana da kai na ɗan lokaci?
