english,ewe
I did not pay attention to the brothers who were discussing in the courtyard,nyekpɔ nɔvinye siwo nɔ dze ɖom le xexe o
"In addition, not everyone has the means to buy books and many people depend on state structures,","gawu la, amesiame meɖo mɔnukpɔkpɔ aflẽ agbãlɛwo o, eye fiohaɖoɖowo kpɔa ame geɖewo gbɔ"
I have to get something better at all costs,makpɔ dɔ nyui bubu godoo
"I will take care of my husband until his last breath, and I will get all my money back,",male be na srɔ̃nye va se ɖe eƒe gbɔgbɔ mamlɔe eye maxɔ nye howo katã
"“The proof is that the sums of money involved are generally derisory, they are rarely greater than 0,000 FCFA. """,eye mesusu be amesi xɔ nu la ye woabu ƒɔ̃ wu amesi nunala la
"Two pieces, three pieces, four pieces then my fingers cross other fingers...Two flashes, then the light comes back","deka, eve etɔ̃ ene eye nye alɔ kli asibiɖe eve bubu... Eve nyɛ̃ɛ wona dzoa"
"The couple, who faced a lot of criticism due to their age difference, never paid attention to the gossipers",srɔ̃tɔ siawo si amewo  kpɔa baɖae la mekea nu de eme na wo o
So it's even more difficult to find AB blood bags-,eyata wosesẽ be woakpɔ ʋuƒomevi sia
"However, according to him, “Paris is not the city that gives the most money to associations of this type, far from it”","ke hã, ebe menye Paris ye nana ga wú le du siwo dea ga hatsotso siawo gɔme la o"
"And speaking of men, I finally see mine getting out of his taxi",ke mekpɔ srɔ̃nye wole dodom le tagzi me
"I will give them new deadlines, for all the money I owe them",maga na ɖoƒe yeyewo wo hena fe siwo menyi la tútu
"4- At the restaurantAt the ice cream parlor or at the restaurant, I like to read while waiting for my order to be brought to me,",le nuɖuƒe la melɔ̃ nuxexlẽ xenɔa nye nuɖuɖu lalam
"In the darkness, Youma saw something like a floating island emerge from the water and swim towards her: it was the old caiman.","Le vivitia me la, Yuma kpɔ nane dogo heƒu tsia gbɔna egbɔ abe anyigba si le tsi dzi la ene. Lo tsitsi la ye."
"As for drawing water from it, you shouldn't think about it either!","Ne tsi kuku tɔ ya la, mega susui gɔ hã o."
"The Government paid tribute, this Wednesday, September 23, 2020, to the compatriots victims of the terrorist attack of September 23, 1986",dziɖuɖua de bubu dumevi siwo kpɔ kú le akpasesẽduxɔnu siwo va eme le anyɔnyɔ 23 lia le ƒè 1986 lia me dzie
Each child brought him a pitcher of water.,Ɖevi ɖe sia ɖe ku tsi zevi ɖeka ɖeka vɛ.
"For drinking water, rest assured, there is a borehole that supplies the entire village with it.","ke hena tsi nono la, woɖe vudo aɖe si naa tsi dua katã"
"But it’s a great experience that gives me the opportunity to be paid for things I love: learning, writing, sharing.","nu nyuie wonye be woxea fe nam le nu si melɔna ta, nuxexle, nuŋɔŋlɔ kple numama"
"Between shopping and cooking, it took me almost the entire afternoon",nuƒeƒlea kple ɖaɖa la siaa xɔ ɣetrɔa katã le asinye
"We discover or rediscover the atrocities experienced by black people, torn from their families to be sold as slaves,",miekpɔ nugbegblẽ siwo katã me ameyibo to le esime woxɔwo le woƒe ƒomewo si yi ɖa  dzrawo abe ameƒeƒle ene
"In addition, the gentleman pays a dowry and one or more rings of 10,000 carats that he will offer her for their engagement and their wedding,","gawu la, ŋutsu na tabianu kple alɔgavi xɔasiwo si woatsɔ na le woƒe srɔ̃ɖeɖe me"
"“Under” our skies, the public media are in the pay of the regime in place. """,mia ŋtɔwo miekpɔe be dziɖuɖua ƒe nya nyui ko fioha nyakakadɔwɔƒewo gblɔna
"Their mother, busy at the store and with her two youngest children, sees nothing but fire,",woa dada si nɔa agbãdzraɖiƒe kple via eveawo mele naneke kpɔm o
They demanded a large quantity of monkey brains to cure him.,Wobia kese fe ahɔhɔ ƒe agbɔsɔsɔ aɖe ne woatsɔ ada dɔa nae.
"An adult ox sells for a very high price,",nyititi xɔa tsi ŋutɔ
"“This means that the apartment cannot be sold, given away, or mortgaged,” specifies Kira Iarmich, in a video posted on Twitter",Kira Iarmich gblɔ le nɔnɔmetata si woɖe ɖe go me be womate ŋu asa aƒea alo atsɔe ana ame alo adee awoba o
The nanny continued to advance slowly until the water came to her chest.,Mami la nɔ zɔzɔm ɖɔɖɔɖɔ vaseɖe esime tsia ɖo akɔta nae.
Bring me some water! I'm dying of thirst! I'm dying of thirst!,Miku tsi va nam. Tsikɔ le wuyem. Tsikɔ le wuyem.
"I don't like dates, yet it is the first food recommended by the Prophet Muhammad (saw) to break the fast",dat tikutsetse medoa dzidzɔ nam o ke hã eyae nyagblɔɖila muhamad ɖo be enye nyuitɔ hena nuʋuʋu
"The money that I took pleasure in counting every evening before falling asleep,",ho si mexlẽna ɣesiayi hafi mlɔ anyi
"Without paying attention to these words, Baffo threw twenty coins on the ground and walked away taking the canary.","Bafo metsɔ nya siawo wɔ dɔe o, etsɔ klosalo blave ƒugbe ɖe afima eye wotsɔ zevi la dzoe."
"It must be accompanied by a pack of 100 liter garbage bags and a deposit of 20,",miatsɔ gbeɖiɖɔ si axɔ liter alafa ɖeka kpeɖe  ŋu
"I was told that when you earn money, no matter how modest it is, you only put up with everything that happens at work","wobe ne fe si tum wole na wo mesɔgbɔ o hã la, wodoa dzi xɔa nu siwo katã le tuwom le dɔme faa"
Man is the only animal that sets his price on the market.,amegbetɔ enye lã ɖeka sie dee asixɔxɔ ye ŋutɔ eɖokui ŋu
A little bottle of candy to motivate the unbearable geek won't be able to ruin him,aha vivi ɖeka mana maɖu; agba o
"But avocado is not the only food to be endowed with such quality, reports Sputnik",ke hã menyte peya ɖeka ko mee ŋusẽ sia le o
"My FNAC tote bag was torn by a blade that I guess was sharp,",lãnu aɖe vuvu nye akpo
I also specify that I gave him my contribution to buy the cement,nyehã mena gae be woatsɔ aƒle simitie
"Siriki sat down, then rang the waitress to order another bottle of wine",Siriki n;lo anyi heyɔ nyɔnuvi la hedɔ wein bubu
"I’m done with the hotel and so I’m going to change inside in the toilets,” explained Bb Bouche Pointue",medzo le Hotel vɔ ekem mayi tsileƒea mayi ɖoli nu
"Blogger Yehni Djidji pointed out that there are even books priced at 500 and 1000 francs on the NEI CEDA and Edipresse publishing stand,",yaʋala nuŋlɔla Yehni Djidj gblɔ hã agbãlɛwo le afima le francs alafa atɔ̃ kple akpe ɖeka me le NEI tataƒea kple CEDA dɔwɔƒe
"You can buy “Vaudace” in electronic version on Kusoma,",miateŋu ƒlẽ «Vaudace» le Kusoma dzi
"A memory which was limited to the ban on the consumption of bush meat in Ivory Coast during the alert period,",ŋukuɖodzinu aɖe si ko le sedede kuɖe gbeme lã ɖuɖu le nyiɖuƒuta ɣeyiyi aɖewo
"But in the event of divorce, “only the part of the dowry given in cash can be reimbursed","ke ne woklã la, agbã ƒe akpa si nye ga asiasi koe woaxe"
I didn't realize it before buying it.,Nyemede dzesii alea hafi ƒlee o
Aristide's wife was informed by the Director of the Hotel in person of the death of her husband,Amedzrodzeƒedzikpɔla ŋutɔe aristide ƒe kunya la na srɔ̃a
"The different paintings created are on sale at prices ranging from 25,000 to 50,000 Francs,",kpe vovovo si wo wɔ le ho me franc 25000 yi 50000
"But the bread was intact,",gake abolo la li
The cola bag rots completely from one bad kola nut slipping in or being slipped into it.,gorosako la gblẽna kemkem ɖe goro gbegblẽ ɖeka si me eme la ta
"No more water, Coq Batay sang sadly as he left with his head bowed","Batay, koklotsua dzi ha nublanuitɔe hede ta agu be, Tsi aɖeke meli o."
"I buy from you often, right?",Me gbɔwoé meƒlea nu le edziedzia?
"During the trial, the man claimed to have distributed at least 53 kilos of marijuana through his Dream Market account",tanyae nye aɖaŋudɔwɔnuwo ƒe ameɖeɖe ɖe aga alo xɔxɔɖeme
I'm not going to pay for something I didn't do.,Nye ya nye mele fe xe ge de ame bubu ƒe nuvɔ ta o.
"After a month, he arrived in a place that looked like a piece of paradise.","Le dzinu ɖeka megbe la, evaɖo teƒe aɖe si le abe paradiso me ene."
"“Life in the West seems easy with its many financial benefits, its many opportunities for well-paid jobs.”",ale abe agbe le bɔbɔe le Europa le alesi wole bɔbɔe be woakpɔ dɔ kple fetu nyui si le eŋu la
"Indeed, money is one of the most common causes of conflict in a romantic relationship.",elabe ganyawoe hea dzre vana srɔtɔwo domee
"Sometimes success and money can cause him to lose sight of what's most important,","gaɖewome, ho kple  ŋugɔ yiyi ateŋu na miabu nusi le vevie"
"While the contents of my glass were stirring with pieces of ice, Marc retreated into the shower, at the end of the corridor.",esi menɔ nye aha mlɔm le kɔpua me la Marc yi tsi le ge
Bring the drinks here!,Mikɔ axàwo va afii
The big pachyderm had finished gobbling up tons and tons of food and was resting in the setting rays of the sun.,Lã lolo kpemi la nuɖuɖu ƒe agba kpekpewo na eɖokui henɔ ɖiɖim ɖe eme le ɣetoɖoɖo ƒe alɔdzewo te.
"This is why it is expensive throughout the market,",eyatae wò xɔ asi nene ma ɖo
"If we can meet before the match, or maybe at the hotel it will be easier","na miado go do ŋgɔ na ʋiʋlia alo le amedzrodzeƒea, anyo wú"
